0,,,3,3,,3,3,,3,3,,3,3,,3,3,,,0
,,,,,,,,,,,,,,,,,,,
5,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,5
,,10,,,10,,,10,,,10,,,10,,,10,,
,,10,,,10,,,10,,,10,,,10,,,10,,
5,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,5
,,10,,,10,,,10,,,10,,,10,,,10,,
,,10,,,10,,,10,,,10,,,10,,,10,,
5,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,5
,,10,,,10,,,10,,,10,,,10,,,10,,
,,10,,,10,,,10,,,10,,,10,,,10,,
5,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,5
,,10,,,10,,,10,,,10,,,10,,,10,,
,,10,,,10,,,10,,,10,,,10,,,10,,
5,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,5
,,10,,,10,,,10,,,10,,,10,,,10,,
,,10,,,10,,,10,,,10,,,10,,,10,,
5,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,4,9,4,5
,,,,,,,,,,,,,,,,,,,
0,,,3,3,,3,3,,3,3,,3,3,,3,3,,,0
